Well,Sample,OD(600)
A1,A1,0.061
A2,A2,0.061
A3,A3,0.061
A4,A4,0.041
A5,A5,0.061
A6,A6,0.054
A7,A7,0.062
A8,A8,0.065
A9,A9,0.048
A10,A10,0.095
A11,A11,0.048
A12,A12,0.039
B1,B1,0.099
B2,B2,0.082
B3,B3,0.099
B4,B4,0.078
B5,B5,0.103
B6,B6,0.068
B7,B7,0.040
B8,B8,0.075
B9,B9,0.068
B10,B10,0.089
B11,B11,0.091
B12,B12,0.038
C1,C1,0.086
C2,C2,0.118
C3,C3,0.093
C4,C4,0.040
C5,C5,0.061
C6,C6,0.074
C7,C7,0.054
C8,C8,0.080
C9,C9,0.086
C10,C10,0.039
C11,C11,0.038
C12,C12,0.037
D1,D1,0.066
D2,D2,0.094
D3,D3,0.043
D4,D4,0.095
D5,D5,0.093
D6,D6,0.095
D7,D7,0.085
D8,D8,0.039
D9,D9,0.039
D10,D10,0.038
D11,D11,0.037
D12,D12,0.038
E1,E1,0.064
E2,E2,0.061
E3,E3,0.058
E4,E4,0.039
E5,E5,0.055
E6,E6,0.053
E7,E7,0.058
E8,E8,0.060
E9,E9,0.047
E10,E10,0.088
E11,E11,0.045
E12,E12,0.038
F1,F1,0.094
F2,F2,0.078
F3,F3,0.408
F4,F4,0.072
F5,F5,0.097
F6,F6,0.070
F7,F7,0.039
F8,F8,0.074
F9,F9,0.071
F10,F10,0.087
F11,F11,0.085
F12,F12,0.038
G1,G1,0.085
G2,G2,0.111
G3,G3,0.091
G4,G4,0.044
G5,G5,0.059
G6,G6,0.079
G7,G7,0.055
G8,G8,0.076
G9,G9,0.085
G10,G10,0.041
G11,G11,0.040
G12,G12,0.039
H1,H1,0.064
H2,H2,0.088
H3,H3,0.046
H4,H4,0.097
H5,H5,0.091
H6,H6,0.089
H7,H7,0.080
H8,H8,0.038
H9,H9,0.039
H10,H10,0.040
H11,H11,0.041
H12,H12,0.039
