sample_id	density	production	prod_level
7_D_TasdA1_P_asdD_rhtA_DtdhDlysC_0_4p5_M1	0.4	0.0	None
M_D_TasdA1_P_asdD_000_DmetL_0_6_M1	0.14	0.0	None
M_D_TasdA_P_asdD_rhtA_DlysA_0_4p5_M1	0.34	0.011067789	Low
M_D_TasdA_P_asdD_000_DmetL_I_24_M1	0.37	0.0	None
7_D_TasdA_P_asdD_aspC_DptsG_I_12_M1	0.0	0.0	None
7_D_TasdA_P_asdD_aceBA_DtdhDdapA_0_24_M1	0.77	0.103931791	Low
M_D_TasdA1_P_asdD_pyc_DmetL_0_5p5_M1	0.14	0.0	None
M_D_TasdA_P_asdD_pyc_DrhtA_0_24_M1	0.88	0.0	None
7_D_TasdA_P_asdD_aspC_DlysC_I_6_M1	0.89	0.028360282	Low
M_D_TasdA1_P_asdD_000_DrhtA_I_5p5_M1	0.08	0.0	None
7_D_TasdA_P_asdD_aspC_DtdhDdapA_0_12_M1	0.15	0.0	None
M_D_TasdA_P_asdD_000_Dtdh_0_24_M1	4.82	0.397	Low
M_D_TasdA_P_asdD_aceBA_D000_0_12_M1	0.9	0.0	None
M_D_TasdA1_P_asdD_pyc_DdhaM_0_4p5_M1	0.19	0.0	None
M_D_TasdA1_P_asdD_000_DtdhDptsG_I_24_M1	0.65	0.09700661	Low
M_D_TasdA1_P_asdD_rhtA_DtdhDdapA_0_4p5_M1	0.17	0.0	None
7_D_TasdA1_P_asdD_000_DtdhDlysC_0_12_M1	0.49	0.0	None
7_0_0_A_asdO_000_D000_0_6_M1	1.95	0.077971468	Low
M_D_TasdA1_P_asdD_rhtA_DtdhDptsG_0_5p5_M1	0.0	0.0	None
M_D_TasdA1_P_asdD_000_DdhaM_0_5p5_M1	0.09	0.0	None
M_D_Tasd_P_asdD_rhtA_DtdhDlysC_0_4p5_M1	0.27	0.01075	Low
M_D_TasdA_P_asdD_rhtA_DtdhDdapA_I_5p5_M1	0.29	0.0	None
M_D_TasdA_P_asdD_aceBA_DtdhDlysA_I_12_M1	0.28	0.0111616	Low
7_D_TasdA_P_asdD_zwf_D000_I_5p5_M1	0.42	0.0	None
M_D_TasdA_P_asdD_pyc_DlysA_0_6_M1	0.25	0.08019912	Low
M_D_TasdA1_P_asdD_000_DrhtA_I_24_M1	0.48	0.0	None
M_D_TasdA_P_asdD_pntAB_DrhtA_0_24_M1	0.36	0.061825155	Low
M_D_Tasd_P_asdD_000_DlysA_I_12_M1	1.0	0.0	None
7_D_Tasd_P_asdD_rhtA_DdapA_I_12_M1	0.38	0.022556046	Low
7_D_TasdA1_P_asdD_000_DtdhDlysC_0_5p5_M1	0.29	0.0	None
M_D_TasdA_P_asdD_pntAB_Dtdh_0_5p5_M1	0.0	0.003	Low
7_D_TasdA1_P_asdD_000_DtdhDrhtA_0_24_M1	2.12	0.0	None
7_D_Tasd_P_asdD_rhtA_DdapA_I_5p5_M1	0.5	0.031	Low
7_D_Tasd_P_asdD_000_DptsG_0_12_M1	0.42	0.0	None
M_D_TasdA_P_asdD_pntAB_DlysA_0_12_M1	0.59	0.114974188	Low
M_D_TasdA1_P_asdD_000_DmetL_I_12_M1	0.4	0.0	None
M_D_TasdA_P_asdD_rhtA_DdhaM_0_12_M1	0.23	0.009073225	Low
M_0_0_0_asdO_000_D000_I_6_M1	2.84	0.0	None
7_D_TasdA_P_asdD_pntAB_DtdhDlysC_0_24_M1	6.69	1.723471206	High
M_D_Tasd_P_asdD_rhtA_DptsG_I_24_M1	0.76	0.0065	Low
M_D_TasdA1_P_asdD_000_DrhtA_I_6_M1	0.07	0.0	None
7_D_Tasd_P_asdD_000_Dtdh_I_5p5_M1	0.18	0.0	None
M_D_TasdA_P_asdD_rhtA_DrhtA_I_24_M1	0.42	0.046862792	Low
7_D_TasdA_P_asdD_pntAB_DtdhDrhtA_0_6_M1	0.38	0.0	None
M_D_Tasd_P_asdD_000_DtdhDmetL_0_5p5_M1	0.17	0.0	None
7_D_TasdA1_P_asdD_rhtA_DtdhDrhtA_0_4p5_M1	0.48	0.025289766	Low
M_D_Tasd_P_asdD_pyc_Dtdh_0_4p5_M1	0.2	0.0	None
7_D_Tasd_P_asdD_000_DptsG_0_5p5_M1	0.23	0.0	None
M_D_TasdA_P_asdD_pntAB_DtdhDptsG_I_12_M1	0.23	0.07710351	Low
M_D_TasdA_P_asdD_aceBA_DtdhDlysC_I_5p5_M1	0.57	0.0	None
7_D_TasdA_P_asdD_rhtA_DlysA_0_12_M1	0.67	0.0	None
7_D_TasdA_P_asdD_zwf_DrhtA_0_4p5_M1	0.55	0.069819652	Low
M_D_Tasd_P_asdD_rhtA_DtdhDptsG_0_6_M1	0.18	0.0	None
7_D_TasdA_P_asdD_pntAB_DtdhDrhtA_0_24_M1	0.82	0.0	None
M_D_TasdA_P_asdD_pntAB_DtdhDptsG_0_4p5_M1	0.18	0.035122008	Low
7_D_TasdA1_P_asdD_rhtA_DptsG_0_4p5_M1	0.1	0.0	None
7_D_TasdA_P_asdD_zwf_D000_0_12_M1	2.36	0.0	None
7_D_TasdA_P_asdD_zwf_Dtdh_0_12_M1	1.48	0.27501729	Low
M_D_Tasd_P_asdD_pyc_DdapA_0_4p5_M1	0.08	0.0	None
7_D_Tasd_P_asdD_000_Dtdh_0_4p5_M1	0.17	0.0	None
M_D_TasdA_P_asdD_pyc_DlysA_I_12_M1	1.17	0.291489054	Low
M_D_TasdA1_P_asdD_000_DtdhDdapA_0_6_M1	0.17	0.0	None
7_D_TasdA1_P_asdD_rhtA_DrhtA_0_6_M1	0.31	0.0	None
M_D_TasdA_P_asdD_zwf_DptsG_0_4p5_M1	0.24	0.028300112	Low
7_D_Tasd_P_asdD_000_DtdhDrhtA_0_5p5_M1	0.2	0.0	None
7_D_Tasd_P_asdD_pyc_DtdhDrhtA_0_4p5_M1	0.18	0.0	None
7_D_TasdA_P_asdD_aspC_DdhaM_0_24_M1	5.8	0.431408329	Low
7_D_TasdA1_P_asdD_000_DtdhDdapA_0_6_M1	0.24	0.0	None
M_D_TasdA1_P_asdD_rhtA_DtdhDlysA_I_24_M1	0.03	0.0	None
M_D_TasdA_P_asdD_aspC_DtdhDptsG_0_6_M1	0.56	0.152692497	Low
7_D_TasdA_P_asdD_aspC_DmetL_0_6_M1	0.03	0.0	None
M_D_Tasd_P_asdD_000_DlysC_0_6_M1	0.21	0.0	None
7_D_TasdA1_P_asdD_000_DlysC_I_12_M1	0.79	0.010918221	Low
7_D_Tasd_P_asdD_000_DtdhDrhtA_I_24_M1	0.23	0.0	None
7_D_Tasd_P_asdD_rhtA_DlysC_I_24_M1	0.17	0.0	None
M_D_TasdA_P_asdD_pyc_DtdhDdapA_0_24_M1	2.51	0.307312441	Low
7_D_TasdA1_P_asdD_pyc_Dtdh_0_4p5_M1	0.38	0.0	None
M_D_TasdA_P_asdD_aspC_DlysC_I_24_M1	0.85	0.662134981	Low
7_D_TasdA_P_asdD_aceBA_DptsG_0_6_M1	0.25	0.0	None
7_D_TasdA_P_asdD_aspC_DdhaM_0_6_M1	1.08	0.038856325	Low
7_D_Tasd_P_asdD_000_DlysC_0_24_M1	0.24	0.0	None
M_D_TasdA_P_asdD_pyc_DlysC_0_12_M1	0.61	0.173460299	Low
7_D_TasdA1_P_asdD_000_DlysA_0_4p5_M1	0.43	0.0	None
7_D_TasdA_P_asdD_aspC_DrhtA_I_12_M1	1.92	0.640279582	Low
M_D_Tasd_P_asdD_rhtA_DlysA_0_24_M1	0.17	0.0	None
7_D_TasdA1_P_asdD_000_D000_I_12_M1	0.63	0.237028925	Low
M_D_TasdA_P_asdD_000_DtdhDlysA_0_5p5_M1	0.73	0.0	None
M_D_TasdA_P_asdD_aspC_DlysA_I_24_M1	0.81	0.496401575	Low
7_D_TasdA1_P_asdD_pyc_DptsG_0_24_M1	0.05	0.0	None
7_D_TasdA_P_asdD_aceBA_DrhtA_0_6_M1	0.58	0.096584561	Low
7_D_TasdA1_P_asdD_rhtA_DptsG_0_6_M1	0.1	0.0	None
7_D_TasdA_P_asdD_zwf_DtdhDlysC_0_4p5_M1	0.4	0.106555801	Low
M_D_TasdA_P_asdD_aceBA_DlysC_0_5p5_M1	0.4	0.0	None
7_D_TasdA_P_asdD_zwf_DdhaM_I_24_M1	2.35	1.40124269	High
7_D_TasdA_P_asdD_rhtA_DdhaM_0_5p5_M1	0.01	0.017	Low
7_D_TasdA1_P_asdD_000_DlysA_0_12_M1	0.8	0.0	None
7_D_TasdA_P_asdD_zwf_DtdhDrhtA_0_24_M1	0.62	0.0	None
7_D_TasdA_P_asdD_pyc_D000_0_6_M1	0.76	0.222742327	Low
7_D_TasdA1_P_asdD_rhtA_DdapA_0_5p5_M1	0.55	0.0	None
7_D_TasdA1_P_asdD_000_DtdhDrhtA_I_5p5_M1	0.32	0.0	None
7_D_Tasd_P_asdD_rhtA_DlysC_I_6_M1	0.13	0.00847935	Low
7_D_Tasd_P_asdD_rhtA_DrhtA_I_6_M1	0.16	0.0	None
M_D_TasdA1_P_asdD_rhtA_DlysA_0_12_M1	0.56	0.0	None
M_D_TasdA1_P_asdD_rhtA_DmetL_0_4p5_M1	0.15	3.62183E-4	Low
M_D_TasdA1_P_asdD_rhtA_DrhtA_0_24_M1	0.66	0.0	None
7_D_TasdA1_P_asdD_pyc_Dtdh_0_5p5_M1	0.53	0.0	None
M_D_TasdA1_P_asdD_rhtA_DlysC_0_5p5_M1	0.81	0.006	Low
7_D_TasdA_P_asdD_000_DrhtA_0_4p5_M1	0.4	0.0	None
M_D_Tasd_P_asdD_000_DdhaM_0_12_M1	0.26	0.0	None
M_D_TasdA_P_asdD_pntAB_DrhtA_I_24_M1	0.3	0.057032279	Low
7_D_TasdA_P_asdD_pyc_DptsG_0_12_M1	0.43	0.0	None
7_D_TasdA1_P_asdD_000_DtdhDlysC_0_24_M1	1.6	0.0	None
M_D_TasdA_P_asdD_rhtA_D000_I_12_M1	0.25	0.153404705	Low
M_D_TasdA_P_asdD_aspC_D000_I_6_M1	0.6	0.0	None
7_D_TasdA1_P_asdD_000_DtdhDdapA_0_5p5_M1	0.17	0.0	None
7_D_TasdA_P_asdD_000_D000_0_4p5_M1	0.77	0.245219908	Low
M_D_Tasd_P_asdD_000_DdapA_I_12_M1	0.34	0.0	None
M_D_TasdA_P_asdD_rhtA_DtdhDlysA_0_4p5_M1	0.45	0.0	None
7_D_TasdA_P_asdD_aceBA_DlysC_I_24_M1	1.57	0.52482311	Low
M_D_TasdA1_P_asdD_000_DptsG_I_12_M1	0.74	0.0	None
M_D_Tasd_P_asdD_000_DtdhDmetL_I_24_M1	1.42	0.0	None
7_D_TasdA_P_asdD_aceBA_DrhtA_I_24_M1	1.01	0.302307001	Low
7_D_TasdA1_P_asdD_pyc_Dtdh_0_6_M1	0.35	0.0	None
7_D_TasdA1_P_asdD_000_DptsG_0_4p5_M1	0.2	0.0	None
M_D_TasdA_P_asdD_000_D000_0_12_M1	4.21	0.644863673	Low
M_D_TasdA_P_asdD_aceBA_DlysA_I_5p5_M1	0.51	0.0	None
7_D_TasdA1_P_asdD_pyc_DtdhDdapA_0_4p5_M1	0.24	0.0	None
7_D_TasdA1_P_asdD_rhtA_DtdhDrhtA_0_12_M1	0.63	0.056	Low
M_D_Tasd_P_asdD_pyc_DdhaM_I_5p5_M1	0.04	0.0	None
M_D_TasdA_P_asdD_pyc_DlysA_I_5p5_M1	0.74	0.0	None
M_D_TasdA_P_asdD_rhtA_DptsG_I_12_M1	0.63	0.069212927	Low
7_D_Tasd_P_asdD_rhtA_DptsG_0_6_M1	0.11	0.0	None
7_D_TasdA_P_asdD_rhtA_DlysC_0_24_M1	2.5	0.061802854	Low
7_D_TasdA1_P_asdD_rhtA_DdhaM_0_6_M1	0.26	0.0	None
7_D_TasdA_P_asdD_pntAB_DdapA_0_6_M1	0.37	0.12807269	Low
M_D_TasdA_P_asdD_aceBA_DdapA_0_5p5_M1	0.23	0.0	None
M_D_TasdA_P_asdD_pntAB_DtdhDdapA_0_24_M1	0.43	0.050996663	Low
M_D_TasdA_P_asdD_aspC_DlysA_0_5p5_M1	0.37	0.0	None
M_D_TasdA_P_asdD_aspC_DrhtA_0_5p5_M1	0.32	0.002	Low
M_D_TasdA_P_asdD_zwf_D000_0_12_M1	0.0	0.0	None
M_D_TasdA_P_asdD_aceBA_DptsG_I_5p5_M1	0.64	0.008	Low
M_D_TasdA_P_asdD_rhtA_DtdhDmetL_0_5p5_M1	0.17	0.0	None
M_D_TasdA_P_asdD_pyc_DtdhDptsG_I_12_M1	0.5	0.0145	Low
M_D_TasdA1_P_asdD_000_DtdhDptsG_0_6_M1	0.28	0.0	None
7_D_TasdA_P_asdD_rhtA_DrhtA_I_12_M1	0.58	0.061	Low
